zoning,description,family,status,date_curated,curated_by
MU h20 f3.5 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h21 f3.8 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h21 f4.5,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h23 f3,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h23 f3.5 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h23 f3.7,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h23 f3.8,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h23 f3 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h23 f4.5,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h23 f4.5 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h23 f5,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h23 f5.1 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h25 f3.5,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h28 f4,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h28 f4.5,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h28 f4 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h28 f5,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h28 f5 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h30 f5.5,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h40 f6.5,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h40 f7,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h40 f7 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h45 f7,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h45 f7 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h50 f4.5 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h50 f6,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h50 f6 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h50 f7,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h50 f7 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h60 f9.5 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h65 f5.5 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h70 f8,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h75 f7.5,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h75 f7.5 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h75 f7 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h77 f8,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h77 f8 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h85 f11,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h85 f11 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h85 f8,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h85 f8 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h88 f11 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MUN,Neighbourhood Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
NA,Natural Areas,Parks and Open Space,RATIFIED,2026-07-25,CC
NSRVES,North Saskatchewan River Valley Edmonton South,Parks and Open Space,RATIFIED,2026-07-25,CC
PLD,Paisley Low Density,Residential,RATIFIED,2026-07-25,CC
PRH,Paisley Row Housing,Residential,RATIFIED,2026-07-25,CC
PS,Parks and Services,Parks and Open Space,RATIFIED,2026-07-25,CC
PSN,Neighbourhood Parks and Services,Parks and Open Space,RATIFIED,2026-07-25,CC
PU,Public Utility,Civic and Public Service,RATIFIED,2026-07-25,CC
RAES,Acreage Residential Edmonton South,Agricultural and Rural,RATIFIED,2026-07-25,CC
RCES,Country Residential Edmonton South,Agricultural and Rural,RATIFIED,2026-07-25,CC
RCRL,River Crossing Large Scale Zone,Residential,RATIFIED,2026-07-25,CC
RCRM,River Crossing Medium Scale Zone,Residential,RATIFIED,2026-07-25,CC
RL h50,Large Scale Residential,Residential,RATIFIED,2026-07-25,CC
RL h65,Large Scale Residential,Residential,RATIFIED,2026-07-25,CC
RM,Medium Scale Residential,Residential,RATIFIED,2026-07-25,CC
RM h16,Medium Scale Residential,Residential,RATIFIED,2026-07-25,CC
RM h23,Medium Scale Residential,Residential,RATIFIED,2026-07-25,CC
RM h28,Medium Scale Residential,Residential,RATIFIED,2026-07-25,CC
RMU,Residential Mixed Use Zone,Mixed Use,RATIFIED,2026-07-25,CC
RR,Rural Residential,Agricultural and Rural,RATIFIED,2026-07-25,CC
RS,Small Scale Residential,Residential,RATIFIED,2026-07-25,CC
RSF,Small Scale Flex Residential,Residential,RATIFIED,2026-07-25,CC
RSM,Small-Medium Scale Transition Residential,Residential,RATIFIED,2026-07-25,CC
RSM h12,Small-Medium Scale Transition Residential,Residential,RATIFIED,2026-07-25,CC
RSM h14,Small-Medium Scale Transition Residential,Residential,RATIFIED,2026-07-25,CC
RTCMR,Riverview Town Centre Medium Rise Residential,Residential,RATIFIED,2026-07-25,CC
RTCR,Riverview Town Centre Residential Zone,Residential,RATIFIED,2026-07-25,CC
RVRH,Riverview Row Housing Zone,Residential,RATIFIED,2026-07-25,CC
SLD,Stillwater Low Density Residential Zone,Residential,RATIFIED,2026-07-25,CC
SRA,Stillwater Rear Attached Housing Zone,Residential,RATIFIED,2026-07-25,CC
SRH,Stillwater Row Housing Zone,Residential,RATIFIED,2026-07-25,CC
TC-C,Town Center Commercial,Commercial,RATIFIED,2026-07-25,CC
TC-MU,Town Center Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
UC3ES,Urban Commercial 3 Edmonton South,Commercial,RATIFIED,2026-07-25,CC
UF,Urban Facilities,Civic and Public Service,RATIFIED,2026-07-25,CC
UI,Urban Institution,Civic and Public Service,RATIFIED,2026-07-25,CC
UW,Urban Warehouse Zone,Industrial and Employment,RATIFIED,2026-07-25,CC
