Neighbourhood,n_properties,avall_public,median_assessvalue,sd_assessedvalue,median_yearbuilt,pct_with_unit,avg_assessvalue_without_unit,avg_lotsize,suppressed
BRANDER GARDENS,918,336246.7320261435,222750,362279.44196887326,1973,0,336246.7320261435,581.2730664488016,FALSE
BRECKENRIDGE GREENS,806,344547.76674937963,384750,113300.97284852654,2002,0,344547.76674937963,365.32445533498765,FALSE
BRINTNELL,1719,387847.0040721348,388500,107481.88049387663,2006,0,387847.0040721348,452.74310715532283,FALSE
BRITANNIA YOUNGSTOWN,1516,224156.3324538266,241000,85191.95351306311,1961,0,224156.3324538266,423.3163180079154,FALSE
BROOKSIDE,625,525347.2000000005,493500,257923.38126879476,1970,0,525347.2000000005,823.6556368,FALSE
BROWN INDUSTRIAL,1,NA,NA,NA,NA,NA,NA,NA,TRUE
BULYEA HEIGHTS,1227,540433.9853300732,526000,152421.58188336325,1990,0,540433.9853300732,694.3430334148329,FALSE
CAERNARVON,1392,262031.60919540247,297500,88631.02381153137,1975,0,262031.60919540247,472.35803879310345,FALSE
CALDER,1378,249428.51959361378,249250,72663.97932899397,1957,0,249428.51959361378,521.2577590711176,FALSE
CALLAGHAN,836,472162.081339714,404500,295798.0240021339,2011,0,472162.081339714,553.6082620813397,FALSE
CALLINGWOOD NORTH,803,211476.9613947695,197500,263795.1562171364,1974,0,211476.9613947695,261.1455753424658,FALSE
CALLINGWOOD SOUTH,1216,189564.5559210524,191500,54417.60625252901,1988,0,189564.5559210524,165.82242351973704,FALSE
CAMERON HEIGHTS,546,665609.8901098904,522000,732792.7600532153,2009,0,665609.8901098904,1226.5538553113552,FALSE
CANON RIDGE,833,247594.2376950784,235500,128417.12875290646,2004,0,247594.2376950784,497.4775300120048,FALSE
CANORA,1086,219562.15469613235,238000,106020.96590568402,1971,0,219562.15469613235,361.60445239410666,FALSE
CANOSSA,1044,380197.3180076628,382000,58484.424854947625,2003,0,380197.3180076628,958.101590038314,FALSE
CAPILANO,1194,373582.49581239506,380500,140176.73739518315,1957,0,373582.49581239506,615.5365845896148,FALSE
CARLISLE,1107,291709.5754290869,300000,232401.73676201393,1978,0,291709.5754290869,489.56468383017165,FALSE
CARLTON,1553,347912.42755956226,348500,154773.42641610015,2006,0,347912.42755956226,472.2620056020605,FALSE
CARTER CREST,631,479602.2187004754,482000,146854.75848711096,1995,0,479602.2187004754,559.2456671949286,FALSE
CASHMAN,1,NA,NA,NA,NA,NA,NA,NA,TRUE
CASSELMAN,1162,246160.06884681573,194000,154920.401965147,1977,0,246160.06884681573,393.4662452667814,FALSE
CENTRAL MCDOUGALL,1033,164965.6340755082,127000,138947.5757548469,1978,0,164965.6340755082,170.6075216844143,FALSE
CHAMBERY,786,455656.48854961834,456500,117907.50856361733,2005,0,455656.48854961834,527.7427582697201,FALSE
CHAPPELLE AREA,871,372412.1699196328,309000,1225137.1556016211,2012,0,372412.1699196328,4240.2659988518935,FALSE
CHARLESWORTH,1450,338913.7931034477,357750,176468.0672547294,2009,0,338913.7931034477,422.01007613793087,FALSE
CLAREVIEW TOWN CENTRE,1624,188046.1822660101,200000,119129.38449583897,2006,0,188046.1822660101,203.02198140394097,FALSE
CLOVER BAR AREA,10,NA,NA,NA,NA,NA,NA,NA,TRUE
CLOVERDALE,484,425254.1322314052,384750,188247.66593586575,2003,0,425254.1322314052,229.1630950413223,FALSE
CPR IRVINE,1,NA,NA,NA,NA,NA,NA,NA,TRUE
CRAWFORD PLAINS,1392,294998.9224137934,306500,65463.81414318677,1981,0,294998.9224137934,507.42427873563213,FALSE
CRESTWOOD,904,650814.7123893813,488000,669440.2905135973,1955,0,650814.7123893813,748.4239380530972,FALSE
CROMDALE,782,201521.0997442456,164750,151829.67494674964,1975,0,201521.0997442456,170.54867122762147,FALSE
CRYSTALLINA NERA,97,NA,NA,NA,NA,NA,NA,NA,TRUE
CRYSTALLINA NERA EAST,2,NA,NA,NA,NA,NA,NA,NA,TRUE
CUMBERLAND,1983,360951.840645486,367500,89987.12950572955,2002,0,360951.840645486,415.7468870398386,FALSE
CY BECKER,5,NA,NA,NA,NA,NA,NA,NA,TRUE
DALY GROVE,1087,286739.1904323831,301500,72119.11322362244,1980,0,286739.1904323831,500.0128923643054,FALSE
DECHENE,600,419932.5,423750,54630.61596532893,1987,0,419932.5,599.4473883333334,FALSE
DELTON,722,248863.57340720223,239000,62171.899543922555,1952,0,248863.57340720223,533.5029362880887,FALSE
DELWOOD,1376,272913.51744186017,285750,67266.39689838709,1966,0,272913.51744186017,558.5499040697674,FALSE
DESROCHERS AREA,2,NA,NA,NA,NA,NA,NA,NA,TRUE
DONSDALE,578,618452.4221453284,605500,439244.13952862355,2004,0,618452.4221453284,703.4423219723184,FALSE
DOVERCOURT,789,286591.8884664132,291000,68123.47970721265,1954,0,286591.8884664132,632.0563472750317,FALSE
DOWNTOWN,5062,216859.14658237764,218500,132124.10270803186,2000.5,0,216859.14658237764,28.281768708020554,FALSE
DUGGAN,1212,356714.10891089117,375000,81161.06865883704,1971,0,356714.10891089117,578.6306551155116,FALSE
DUNLUCE,1853,274788.7209929845,302500,126660.63767064437,1979,0,274788.7209929845,532.3587998381005,FALSE
EASTWOOD,1128,228323.1382978722,219500,113186.00746467967,1962,0,228323.1382978722,449.8075976950354,FALSE
EAUX CLAIRES,1177,329804.58793542895,314000,137100.10046298348,2002,0,329804.58793542895,449.26974681393347,FALSE
EBBERS,2,NA,NA,NA,NA,NA,NA,NA,TRUE
EDGEMONT,56,NA,NA,NA,NA,NA,NA,NA,TRUE
EDMONTON NORTHLANDS,1,NA,NA,NA,NA,NA,NA,NA,TRUE
EKOTA,801,279325.84269662906,305000,84809.2009679388,1976,0,279325.84269662906,544.1044581772784,FALSE
ELLERSLIE,2080,322345.4326923084,329500,116082.33290142682,2004,0,322345.4326923084,518.3991639423084,FALSE
ELLERSLIE INDUSTRIAL,11,NA,NA,NA,NA,NA,NA,NA,TRUE
ELMWOOD,791,301615.67635903915,315000,68490.04515684204,1964,0,301615.67635903915,528.8789620733249,FALSE
ELMWOOD PARK,411,226572.9927007301,248500,87390.5002681611,1959,0,226572.9927007301,574.8978783454988,FALSE
ELSINORE,842,385379.45368170977,405000,119060.92633190587,1996,0,385379.45368170977,597.0835871733966,FALSE
EMPIRE PARK,1005,206468.15920398006,177500,62772.45777626881,1983,0,206468.15920398006,213.5162865671642,FALSE
ERMINESKIN,1897,203355.2978386921,204500,143842.17468448612,2002,0,203355.2978386921,190.28712198207668,FALSE
EVANSDALE,1603,262118.83967560777,303000,98912.44634447584,1972,0,262118.83967560777,472.77768683718057,FALSE
FALCONER HEIGHTS,608,490013.9802631576,513500,135721.4727788431,1997,0,490013.9802631576,556.7215296052632,FALSE
FOREST HEIGHTS,1462,381534.199726402,361000,140940.15212802603,1957,0,381534.199726402,533.5914103967168,FALSE
FRASER,1252,288634.1853035144,276500,241083.57085248965,1981,0,288634.1853035144,604.8477492012779,FALSE
FULTON PLACE,962,330109.66735966754,345000,104437.30440607035,1956,0,330109.66735966754,547.5325654885655,FALSE
GAGNON ESTATE INDUSTRIAL,1,NA,NA,NA,NA,NA,NA,NA,TRUE
GAINER INDUSTRIAL,181,247613.25966850828,246000,28509.932789273003,2008,0,247613.25966850828,79.10286629834253,FALSE
GARIEPY,754,422220.1591511942,446250,155080.52551453948,1979,0,422220.1591511942,553.8082201591512,FALSE
GARNEAU,2133,342510.7829348318,327000,263063.97536902886,1978,0,342510.7829348318,153.1201962025314,FALSE
GLASTONBURY,2348,362308.9863713783,364000,122757.43986208936,2003,0,362308.9863713783,376.13812921635406,FALSE
GLENGARRY,1186,236738.61720067434,269250,74985.89443350949,1962,0,236738.61720067434,439.64314333895436,FALSE
GLENORA,1505,572401.6611295699,487500,421955.7388822863,1951,0,572401.6611295699,562.4439634551494,FALSE
GLENRIDDING AREA,292,362336.479452055,142500,1571136.266147268,2012.5,0,362336.479452055,9671.87031917808,FALSE
GLENWOOD,1751,240719.30325528298,247500,87795.88759503484,1970,0,240719.30325528298,419.4526458023986,FALSE
GOLD BAR,947,329617.74023231224,332000,133831.99062462526,1958,0,329617.74023231224,595.613262935586,FALSE
GOODRIDGE CORNERS,1,NA,NA,NA,NA,NA,NA,NA,TRUE
GORMAN,17,NA,NA,NA,NA,NA,NA,NA,TRUE
GRANDVIEW HEIGHTS,376,618812.5,599750,285715.39000084216,1963,0,618812.5,821.9665425531915,FALSE
GRANVILLE,366,450989.0710382517,423500,785936.5915311666,2012,0,450989.0710382517,2627.993680327869,FALSE
GREENFIELD,1419,371594.7850599017,380000,92082.18067668188,1967,0,371594.7850599017,591.1743960535589,FALSE
GREENVIEW,1011,322812.0672601383,339500,99741.4617938383,1978,0,322812.0672601383,572.2591867457963,FALSE
GRIESBACH,1103,441999.54669084336,384500,1366318.2359923478,2008,0,441999.54669084336,1451.072599274705,FALSE
GROVENOR,971,362206.48815653974,332500,143393.55844036472,1954,0,362206.48815653974,562.7602779608651,FALSE
HADDOW,1553,480277.8493238883,491500,203253.238834367,2002,0,480277.8493238883,452.4603000643914,FALSE
HAGMANN ESTATE INDUSTRIAL,7,NA,NA,NA,NA,NA,NA,NA,TRUE
HAIRSINE,830,215697.59036144565,179500,69636.93624249227,1979,0,215697.59036144565,372.94370000000015,FALSE
HAWKS RIDGE,164,288920.731707317,139500,1421322.782035525,2013,0,288920.731707317,6863.488536585364,FALSE
HAYS RIDGE AREA,4,NA,NA,NA,NA,NA,NA,NA,TRUE
HAZELDEAN,1001,350291.7082917083,338000,81839.72642414458,1955,0,350291.7082917083,591.3131298701298,FALSE
HENDERSON ESTATES,625,656360.7999999995,588500,232541.5350603107,1990,0,656360.7999999995,726.0802719999999,FALSE
HERITAGE VALLEY AREA,4,NA,NA,NA,NA,NA,NA,NA,TRUE
HERITAGE VALLEY AREA EAST,6,NA,NA,NA,NA,NA,NA,NA,TRUE
HERITAGE VALLEY TOWN CENTRE AREA,5,NA,NA,NA,NA,NA,NA,NA,TRUE
HIGH PARK,611,286660.3927986907,284500,61643.49222436986,1959,0,286660.3927986907,631.1591160392799,FALSE
HIGH PARK INDUSTRIAL,2,NA,NA,NA,NA,NA,NA,NA,TRUE
HIGHLANDS,1144,366365.8216783216,332250,163168.01091038372,1948,0,366365.8216783216,572.1960882867132,FALSE
HILLVIEW,1102,302419.6914700542,311000,195841.53087608912,1978,0,302419.6914700542,534.8104573502723,FALSE
HODGSON,983,511516.27670396713,459500,278043.5370448962,2004,0,511516.27670396713,394.97683926754837,FALSE
HOLLICK-KENYON,1843,364108.79001627746,372500,97897.46635307043,2004,0,364108.79001627746,428.5438098209443,FALSE
HOLYROOD,1089,367712.58034894394,363000,107330.9505176202,1955,0,367712.58034894394,641.92782369146,FALSE
HOMESTEADER,917,237463.4678298801,252500,70657.90352028879,1975,0,237463.4678298801,516.7942933478735,FALSE
HUDSON,698,372166.189111748,379250,295236.979498196,2004,0,372166.189111748,662.7461590257882,FALSE
IDYLWYLDE,663,306992.4585218701,311500,80233.71696992847,1953,0,306992.4585218701,467.4810859728508,FALSE
INDUSTRIAL HEIGHTS,6,NA,NA,NA,NA,NA,NA,NA,TRUE
INGLEWOOD,1743,228404.4750430297,261500,112858.98292066396,1953,0,228404.4750430297,385.39543941480184,FALSE
JACKSON HEIGHTS,1273,365161.429693637,363000,67669.22402879148,1992,0,365161.429693637,526.950912018853,FALSE
JAMIESON PLACE,1353,374251.29342202545,377500,72261.54450179152,1990,0,374251.29342202545,496.3938351810791,FALSE
JASPER PARK,615,268891.8699186991,273500,67962.23155185154,1959,0,268891.8699186991,534.7657765853659,FALSE
KAMEYOSEK,768,264353.515625,244750,307406.16861722426,1976,0,264353.515625,406.0873333333331,FALSE
KEHEEWIN,1206,307073.3830845762,282500,112508.64699123513,1983,0,307073.3830845762,366.4586824212276,FALSE
KENILWORTH,1019,342335.13248282624,354500,84984.83224347154,1963,0,342335.13248282624,553.3105682041216,FALSE
KENNEDALE INDUSTRIAL,14,NA,NA,NA,NA,NA,NA,NA,TRUE
KENSINGTON,1414,259703.323903819,276000,74317.90941051209,1962,0,259703.323903819,523.4872185289958,FALSE
KERNOHAN,1091,283579.7433547205,293000,78763.48617493697,1978,0,283579.7433547205,482.6650962419798,FALSE
KESWICK AREA,12,NA,NA,NA,NA,NA,NA,NA,TRUE
KILDARE,965,245766.83937823834,290500,82215.67400903214,1968,0,245766.83937823834,422.51437512953373,FALSE
KILKENNY,1612,286258.9950372211,306000,84657.96601715992,1969,0,286258.9950372211,501.78667803970234,FALSE
KILLARNEY,879,279635.38111490326,279000,76406.6784523892,1959,0,279635.38111490326,607.3942536973834,FALSE
KING EDWARD PARK,1559,333711.9948685053,318500,181478.36184736606,1952,0,333711.9948685053,473.0837005772931,FALSE
KINISKI GARDENS,2218,327555.90622182103,306000,89154.58709664739,1990,0,327555.90622182103,418.87665374210997,FALSE
KINOKAMAU PLAINS AREA,61,NA,NA,NA,NA,NA,NA,NA,TRUE
KIRKNESS,1118,275055.0089445438,282000,141560.1942661547,1983,0,275055.0089445438,399.5309681574241,FALSE
KLARVATTEN,1897,359544.28044280456,366000,178446.14237377525,2004,0,359544.28044280456,522.649424775962,FALSE
LA PERLE,1644,294121.6545012163,282500,301052.9620887502,1982,0,294121.6545012163,456.31159489051106,FALSE
LAGO LINDO,1411,314421.33238837717,317500,76830.76072012707,1983,0,314421.33238837717,514.2485485471296,FALSE
LANSDOWNE,381,517779.52755905525,555500,195301.74346592213,1967,0,517779.52755905525,733.1269842519686,FALSE
LARKSPUR,1677,337877.757901014,361500,83193.5533992241,1997,0,337877.757901014,428.3958304710793,FALSE
LAUDERDALE,840,267941.66666666674,273000,139228.0100635415,1959,0,267941.66666666674,572.3309738095239,FALSE
LAUREL,1230,315885.77235772327,321500,456405.28183449525,2011,0,315885.77235772327,788.7129170731708,FALSE
LAURIER HEIGHTS,1024,531242.67578125,504000,269117.53246604605,1958,0,531242.67578125,748.1984130859375,FALSE
LEE RIDGE,812,255806.65024630545,243000,78863.8077806791,1974,0,255806.65024630545,554.6844839901477,FALSE
LEGER,805,481668.3229813665,464000,115188.15692300333,2004,0,481668.3229813665,471.96485465838515,FALSE
LENDRUM PLACE,658,380468.085106383,406500,118867.52106595026,1962,0,380468.085106383,563.4147796352584,FALSE
LEWIS FARMS INDUSTRIAL,31,NA,NA,NA,NA,NA,NA,NA,TRUE
LORELEI,1321,277282.7403482209,308000,97414.31412178678,1976,0,277282.7403482209,480.73509386828175,FALSE
LYMBURN,2087,296471.25059894635,317500,77839.95976403836,1982,0,296471.25059894635,418.22622472448495,FALSE
LYNNWOOD,783,347511.4942528736,339500,63721.690435106786,1959,0,347511.4942528736,589.5197305236271,FALSE
MACEWAN,2380,311534.03361344634,305500,107245.0205259298,2005,0,311534.03361344634,255.36857403361296,FALSE
MACTAGGART,912,598141.4473684183,618250,369195.3495045912,2010,0,598141.4473684183,545.0613027412281,FALSE
MAGRATH HEIGHTS,1272,550411.1635220125,543000,549890.218255737,2006,0,550411.1635220125,599.0027775157231,FALSE
MALMO PLAINS,777,357992.2779922778,388000,102703.1081305487,1965,0,357992.2779922778,504.11355598455594,FALSE
MAPLE,270,357400,140000,1497218.605047745,2012,0,357400,3872.66247037037,FALSE
MAPLE RIDGE,8,NA,NA,NA,NA,NA,NA,NA,TRUE
MAPLE RIDGE INDUSTRIAL,26,NA,NA,NA,NA,NA,NA,NA,TRUE
MATT BERRY,1308,394189.98470947996,416500,84866.17143128652,1997,0,394189.98470947996,485.5920997706422,FALSE
MAYFIELD,869,264075.9493670887,281000,57748.53108573102,1958,0,264075.9493670887,526.4677134637514,FALSE
MAYLIEWAN,1265,425472.7272727276,420500,90100.33221241254,1999,0,425472.7272727276,555.5377936758892,FALSE
MCCAULEY,818,229227.38386308082,211500,308747.3520946549,1944,0,229227.38386308082,354.3501297066015,FALSE
MCCONACHIE AREA,938,380176.9722814508,362500,446322.20275125455,2011,0,380176.9722814508,1895.7402621535177,FALSE
MCKERNAN,919,454549.5103373233,417500,144938.1375709198,1950,0,454549.5103373233,517.3104483133841,FALSE
MCLEOD,889,315624.2969628797,302000,66548.09710887766,1969,0,315624.2969628797,619.0224094488188,FALSE
MCQUEEN,481,308866.9438669438,322500,98522.39576621926,1955,0,308866.9438669438,638.0904885654886,FALSE
MEADOWLARK PARK,1206,303922.0563847431,312000,49367.32648119155,1961,0,303922.0563847431,458.9125862354891,FALSE
MEADOWS AREA,10,NA,NA,NA,NA,NA,NA,NA,TRUE
MENISA,878,314876.993166287,320750,131525.1198211593,1977,0,314876.993166287,630.805145785877,FALSE
MEYOKUMIN,951,280333.3333333334,289500,172527.8385876293,1979,0,280333.3333333334,491.9253364879075,FALSE
MEYONOHK,1117,251401.5219337513,253500,111371.17325613786,1977,0,251401.5219337513,448.92648612354526,FALSE
MICHAELS PARK,772,267022.668393782,299750,83799.33920989119,1975,0,267022.668393782,483.5641813471502,FALSE
MILL CREEK RAVINE,1,NA,NA,NA,NA,NA,NA,NA,TRUE
MILL CREEK RAVINE NORTH,3,NA,NA,NA,NA,NA,NA,NA,TRUE
MILL WOODS TOWN CENTRE,481,214087.31808731816,216000,44657.48893523564,1995,0,214087.31808731816,95.01663617463618,FALSE
MILLER,1022,329447.651663405,331000,69690.21946368909,2002,0,329447.651663405,380.3083088062622,FALSE
MINCHAU,1023,296502.4437927666,303000,73279.5477422569,1981,0,296502.4437927666,506.25087976539584,FALSE
MISTATIM INDUSTRIAL,1,NA,NA,NA,NA,NA,NA,NA,TRUE
MONTROSE,1155,221256.27705627706,221000,60242.13952328205,1951,0,221256.27705627706,441.9990121212121,FALSE
MORIN INDUSTRIAL,1,NA,NA,NA,NA,NA,NA,NA,TRUE
NEWTON,1152,265685.3298611112,264250,73152.95962138564,1958,0,265685.3298611112,510.3110034722222,FALSE
NORTH GLENORA,728,353495.87912087917,348500,74833.23033677862,1952,0,353495.87912087917,635.8528337912088,FALSE
NORTHMOUNT,1098,277478.597449909,303500,80147.32757634514,1971,0,277478.597449909,523.4846812386155,FALSE
OGILVIE RIDGE,370,597163.5135135135,612750,217713.86306779733,1989,0,597163.5135135135,689.7433837837838,FALSE
OLESKIW,1096,725299.7262773713,606250,461677.88716554514,1989,0,725299.7262773713,803.3901031021898,FALSE
OLIVER,7712,227167.79045643113,196500,155418.10626514762,1978,0,227167.79045643113,43.33144818464733,FALSE
ORMSBY PLACE,1767,322176.8534238831,336000,124237.82923295572,1978,0,322176.8534238831,467.0873084323713,FALSE
OTTEWELL,2422,330136.45747316134,354000,101277.1922084609,1961,0,330136.45747316134,525.4481738232865,FALSE
OVERLANDERS,463,295902.8077753779,310000,231245.91315611755,1978,0,295902.8077753779,535.3482548596112,FALSE
OXFORD,1278,361781.2989045385,375000,134440.7166104382,2002,0,361781.2989045385,501.6760728482004,FALSE
OZERNA,1426,390374.12342215935,393000,113795.61905406439,1997,0,390374.12342215935,500.6370666199158,FALSE
PARKALLEN,909,369611.6611661166,374000,123052.66599452781,1951,0,369611.6611661166,489.2332839383938,FALSE
PARKDALE,1435,203410.45296167262,198000,54217.51444439602,1949,0,203410.45296167262,321.0594124738678,FALSE
PARKVIEW,1414,550017.3267326736,431250,503067.581680422,1957,0,550017.3267326736,666.431954738331,FALSE
PATRICIA HEIGHTS,444,392459.4594594591,390500,259842.55204185835,1969,0,392459.4594594591,736.3075225225226,FALSE
PEMBINA,365,183097.26027397267,212000,93078.34194766276,2005,0,183097.26027397267,112.59493698630139,FALSE
PLACE LA RUE,1,NA,NA,NA,NA,NA,NA,NA,TRUE
PLEASANTVIEW,1490,329091.27516778494,323750,159255.5118568941,1963,0,329091.27516778494,476.99448234899353,FALSE
POLLARD MEADOWS,1370,253729.9270072985,279500,79158.24998865038,1981,0,253729.9270072985,407.95605970802904,FALSE
POTTER GREENS,576,505708.3333333333,487250,312720.8200685523,1997,0,505708.3333333333,1036.7041475694448,FALSE
PRINCE CHARLES,559,264841.68157423974,252000,79908.29464729957,1950,0,264841.68157423974,563.7232772808587,FALSE
PRINCE RUPERT,483,276763.97515527956,294000,101983.17830909311,1953,0,276763.97515527956,475.93185942028987,FALSE
PYLYPOW INDUSTRIAL,3,NA,NA,NA,NA,NA,NA,NA,TRUE
QUEEN ALEXANDRA,1385,314807.22021660674,321000,123763.62547688808,1968,0,314807.22021660674,296.88542382671477,FALSE
QUEEN MARY PARK,2222,197479.97299729925,183000,91878.63782026524,1979.5,0,197479.97299729925,199.90126782178234,FALSE
QUESNELL HEIGHTS,136,680033.0882352941,588500,401051.4246245177,1969,0,680033.0882352941,1184.2003970588235,FALSE
RAMPART INDUSTRIAL,3,NA,NA,NA,NA,NA,NA,NA,TRUE
RAMSAY HEIGHTS,1209,384678.6600496286,419500,218605.55952102682,1981,0,384678.6600496286,595.9594648469811,FALSE
RAPPERSWIL,552,301551.63043478265,305500,510971.66304298013,2012,0,301551.63043478265,1047.8875670289858,FALSE
RHATIGAN RIDGE,1139,549274.8024582964,512000,173572.44626064805,1987,0,549274.8024582964,723.3138077260755,FALSE
RICHFIELD,709,305859.66149506345,297500,457504.531770829,1973,0,305859.66149506345,624.9572905500705,FALSE
RICHFORD,218,610142.2018348621,561000,317056.87239139515,2002,0,610142.2018348621,1070.405878899083,FALSE
RIDEAU PARK,557,298102.3339317772,342000,127177.99419228609,1973,0,298102.3339317772,378.74824775583494,FALSE
RIO TERRACE,508,497586.6141732285,439250,211166.72553769546,1961,0,497586.6141732285,773.70540354330706,FALSE
RITCHIE,1956,294726.48261758697,293000,134510.46350346995,1969,0,294726.48261758697,305.22422852760684,FALSE
RIVER VALLEY CAMERON,1,NA,NA,NA,NA,NA,NA,NA,TRUE
RIVER VALLEY CAPITOL HILL,2,NA,NA,NA,NA,NA,NA,NA,TRUE
RIVER VALLEY FORT EDMONTON,11,NA,NA,NA,NA,NA,NA,NA,TRUE
RIVER VALLEY GOLD BAR,1,NA,NA,NA,NA,NA,NA,NA,TRUE
RIVER VALLEY HERMITAGE,68,NA,NA,NA,NA,NA,NA,NA,TRUE
RIVER VALLEY HIGHLANDS,9,NA,NA,NA,NA,NA,NA,NA,TRUE
RIVER VALLEY KINNAIRD,2,NA,NA,NA,NA,NA,NA,NA,TRUE
RIVER VALLEY LESSARD NORTH,3,NA,NA,NA,NA,NA,NA,NA,TRUE
RIVER VALLEY OLESKIW,3,NA,NA,NA,NA,NA,NA,NA,TRUE
RIVER VALLEY TERWILLEGAR,9,NA,NA,NA,NA,NA,NA,NA,TRUE
RIVER VALLEY WALTERDALE,11,NA,NA,NA,NA,NA,NA,NA,TRUE
RIVER VALLEY WHITEMUD,2,NA,NA,NA,NA,NA,NA,NA,TRUE
RIVER VALLEY WINDEMERE,3,NA,NA,NA,NA,NA,NA,NA,TRUE
RIVERDALE,930,417846.77419354883,372000,314212.97346989816,2002,0,417846.77419354883,352.7803591397849,FALSE
ROSENTHAL,187,351489.3048128346,81000,1723714.8422554934,2013,0,351489.3048128346,11077.057872192514,FALSE
ROSSDALE,382,455295.81151832466,380500,200508.1574145045,1992,0,455295.81151832466,239.91185340314135,FALSE
